0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:49 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:49 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:13:14 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:13:14 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:13:14 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:13:14 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:13:14 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:13:14 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:15:40 +0900] "GET /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:15:41 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:15:45 +0900] "GET /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:15:50 +0900] "GET /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:14 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:14 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:14 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:14 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:14 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:14 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:22 +0900] "GET /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:52 +0900] "GET /kokotown/ HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:53 +0900] "GET /kokotown/StartAction.action HTTP/1.1" 200 3367
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:53 +0900] "GET /kokotown/css/search_bar.css HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:53 +0900] "GET /kokotown/img/btn4.gif HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:53 +0900] "GET /kokotown/img/input4.gif HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:55 +0900] "GET /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:55 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:55 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:55 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 200 55702
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:55 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:17:56 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 200 74250
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:23:17 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:23:17 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:23:17 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:23:17 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:23:17 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:23:17 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:27:37 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:27:37 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:27:37 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:27:37 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:27:37 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:27:37 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:28:20 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3934
